age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date,id,contact_month,contact_year,previous_contact
,housemaid,MARRIED,basic.4y,0,0,0,telephone,261,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-08-02,089b39d8-e4d0-461b-87d4-814d71e0e079,8,2019,0
57.0,services,MARRIED,high.school,0,0,0,telephone,149,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-09-14,e9d37224-cb6f-4942-98d7-46672963d097,9,2016,0
37.0,services,MARRIED,high.school,0,1,0,telephone,226,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-02-15,3f9f49b5-e410-4948-bf6e-f9244f04918b,2,2019,0
40.0,admin.,MARRIED,basic.6y,0,0,0,telephone,151,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2015-11-29,9991fafb-4447-451a-8be2-b0df6098d13e,11,2015,0
56.0,services,MARRIED,high.school,0,0,1,telephone,307,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2017-01-29,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,1,2017,0
45.0,services,MARRIED,basic.9y,0,0,0,telephone,198,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2015-09-26,d63ede72-0b6d-45b1-8872-385ac6897f65,9,2015,0
59.0,admin.,MARRIED,professional.course,0,0,0,telephone,139,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2019-01-25,5e3483e5-236d-437d-8351-541f9d09b9dd,1,2019,0
,blue-collar,MARRIED,,0,0,0,telephone,217,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2017-09-25,87fdc08b-30ae-4dab-803f-561ecdf27ff0,9,2017,0
24.0,technician,SINGLE,professional.course,0,1,0,telephone,380,1,,0,NONEXISTENT,1.1,93.994,-36.4,4.857,5191.0,0,2018-01-18,87b79988-2be5-419d-88f4-56655852c565,1,2018,0
25.0,services,SINGLE,high.school,0,1,0,telephone,50,1,,0,NONEXISTENT,1.1,93.994,-36.4,,5191.0,0,2016-11-02,ea6b7d04-9271-4c0a-a01f-07795d164aba,11,2016,0
